iter, runtime, planning-time, anml-file, opened-states, generated-states, fast-forwarded, sol-depth, makespan, flaw-sel, plan-sel, reachability, fast-forward, ae
4, 33.893, 33.891, problem/anml/overcooked-hier-dur.burger-deadline.pb.anml, 57, 125, 328, 57, 368, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
4, 12.293, 12.291, problem/anml/overcooked-hier-dur.tutorial-tomato-salad.pb.anml, 35, 75, 234, 34, 180, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
0, 12.883, 12.799, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 46, 182, 21, 115, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
1, 12.986, 12.98, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 46, 182, 21, 115, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
2, 12.074, 12.07, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 46, 182, 21, 115, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
3, 11.268, 11.264, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 46, 182, 21, 115, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
4, 9.723, 9.72, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 46, 182, 21, 115, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:soca, full, ff, no-ae
0, 13.007, 12.926, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
1, 11.989, 11.984, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
2, 11.897, 11.894, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
3, 11.01, 11.007, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
4, 9.324, 9.321, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:makespan:ord-dec:soca, full, ff, no-ae
0, 12.399, 12.316, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
1, 11.861, 11.854, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
2, 11.463, 11.459, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
3, 10.783, 10.78, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
4, 9.31, 9.308, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 24, 53, 147, 24, 79, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:makespan:soca, full, ff, no-ae
0, 12.937, 12.854, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 33, 58, 212, 23, 124, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
1, 11.864, 11.859, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 45, 176, 21, 113, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
2, 12.725, 12.721, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 47, 176, 21, 96, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
3, 11.247, 11.244, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 47, 176, 21, 82, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
4, 9.544, 9.541, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 46, 167, 21, 148, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:robust:ord-dec:soca, full, ff, no-ae
0, 12.853, 12.772, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 20, 44, 155, 20, 99, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
1, 11.91, 11.904, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 46, 167, 21, 146, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
2, 12.773, 12.77, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 20, 44, 155, 20, 97, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
3, 11.397, 11.393, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 23, 50, 156, 23, 115, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
4, 9.701, 9.699, problem/anml/overcooked-hier-dur.tutorial-salad.pb.anml, 21, 45, 147, 21, 96, earliest:threats:hier-fifo:ogf:abs:lcf, dfs:ord-dec:robust:soca, full, ff, no-ae
